FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,ARR_DELAY,DEP_DELAY
2009-02-07,9E,2302,EVV,DTW,-107.0,-96.0
2009-04-12,AS,70,JNU,SIT,-31.0,-23.0
2009-08-25,YV,7140,CHS,ORD,-36.0,-20.0
2009-09-28,HA,29,SEA,OGG,-6.0,-19.0
2009-01-15,US,2173,LGA,DCA,7.0,-18.0
2009-12-20,AS,64,KTN,SEA,-18.0,-18.0
2009-05-16,US,85,ABQ,PHX,-24.0,-17.0
2009-09-01,OO,6617,TVC,ORD,-7.0,-17.0
2009-11-17,OO,5943,SJC,SBA,-24.0,-17.0
2009-09-06,CO,766,ONT,IAH,-11.0,-16.0
2009-01-13,MQ,4661,BDL,RDU,0.0,-16.0
2009-09-11,FL,238,PHF,BOS,-10.0,-16.0
2009-07-14,OH,6497,LGA,SAV,-23.0,-16.0
2009-11-12,UA,995,RDU,ORD,-30.0,-15.0
2009-09-30,AS,152,OTZ,ANC,-26.0,-15.0
2009-11-26,F9,671,MCO,DEN,-15.0,-15.0
2009-02-11,YV,2781,TUS,PHX,-9.0,-15.0
2009-04-12,EV,5623,CSG,ATL,-10.0,-15.0
2009-12-27,AS,114,ANC,SEA,14.0,-15.0
2009-06-12,US,1402,BUF,CLT,-26.0,-15.0
2009-03-24,OO,4551,TUL,SLC,-18.0,-15.0
2009-09-26,US,2126,LGA,BOS,-2.0,-14.0
2009-06-08,HA,324,LIH,HNL,-13.0,-14.0
2009-05-10,AS,2,SEA,DCA,-21.0,-14.0
2009-11-02,YV,7039,MEM,ORD,-25.0,-14.0
2009-11-04,B6,503,EWR,FLL,-13.0,-14.0
2009-04-07,AA,284,HNL,LAX,-43.0,-14.0
2009-03-31,B6,55,BTV,JFK,-19.0,-14.0
2009-02-17,NW,1715,DCA,MSP,2.0,-14.0
2009-04-09,OO,6690,SBN,ORD,-26.0,-14.0
2009-02-19,YV,7225,ORF,IAD,-23.0,-14.0
2009-01-19,US,517,SJC,PHX,-15.0,-14.0
2009-12-15,NW,7332,GRB,MSP,-5.0,-14.0
2009-09-09,9E,4238,MBS,MSP,-34.0,-13.0
2009-08-17,EV,5182,CVG,MDT,-20.0,-13.0
2009-08-30,XE,5698,ORD,GSP,-26.0,-13.0
2009-11-22,B6,1258,IAD,BOS,-11.0,-13.0
2009-09-23,YV,2778,ICT,PHX,-20.0,-13.0
2009-09-24,YV,2606,SAV,CLT,-1.0,-13.0
2009-11-22,OO,4554,BIS,SLC,3.0,-13.0
2009-06-05,9E,2560,DSM,DTW,-21.0,-13.0
2009-06-15,OO,4790,RNO,SLC,-15.0,-13.0
2009-01-18,EV,5518,BTR,ATL,-14.0,-13.0
2009-05-23,OO,6093,ICT,DEN,-17.0,-13.0
2009-05-19,US,1097,BOS,PHL,-12.0,-13.0
2009-01-08,EV,5577,ATL,EVV,-17.0,-13.0
2009-08-09,NW,489,TPA,DTW,-6.0,-13.0
2009-06-27,NW,802,HNL,ATL,-11.0,-13.0
2009-07-05,UA,650,PHX,ORD,-13.0,-13.0
2009-02-05,OO,4639,GEG,SLC,-9.0,-13.0
2009-11-10,UA,552,PHX,SFO,-36.0,-13.0
2009-07-29,MQ,3955,ORD,MEM,7.0,-12.0
2009-09-04,XE,2372,GPT,IAH,-2.0,-12.0
2009-07-27,OO,5961,PIA,ORD,-2.0,-12.0
2009-02-23,9E,2929,PIA,DTW,-22.0,-12.0
2009-08-04,XE,2909,DEN,CLE,-18.0,-12.0
2009-01-20,FL,292,ATL,MCO,-7.0,-12.0
2009-12-16,XE,2141,ROC,CLE,-3.0,-12.0
2009-01-09,AS,52,BRW,FAI,-17.0,-12.0
2009-11-06,B6,338,MCO,IAD,-12.0,-12.0
2009-01-02,AA,1580,LAX,ORD,-1.0,-12.0
2009-11-28,HA,247,KOA,HNL,-16.0,-12.0
2009-11-28,OO,6189,XNA,ORD,-4.0,-12.0
2009-03-10,DL,2033,SDF,ATL,-15.0,-12.0
2009-06-24,OO,4696,ABQ,SLC,-6.0,-12.0
2009-07-21,EV,5091,TRI,ATL,-19.0,-12.0
2009-03-09,YV,1026,HNL,KOA,-3.0,-12.0
2009-02-02,US,1452,DCA,PVD,-19.0,-12.0
2009-05-02,CO,72,HNL,IAH,-28.0,-12.0
2009-01-14,AA,376,JAX,DFW,-15.0,-12.0
2009-05-22,EV,5311,FNT,ATL,-9.0,-12.0
2009-01-11,UA,36,SFO,SAN,-15.0,-12.0
2009-09-19,B6,439,BOS,MCO,-26.0,-12.0
2009-11-19,UA,364,PSP,DEN,-15.0,-12.0
2009-01-24,XE,2131,IAH,CRP,-12.0,-12.0
2009-09-07,AS,862,OGG,PDX,-20.0,-12.0
2009-12-05,YV,2825,PHX,TUS,-15.0,-12.0
2009-11-17,XE,2130,OMA,EWR,6.0,-12.0
2009-05-25,AS,90,ANC,SEA,2.0,-12.0
2009-09-10,MQ,3936,CVG,ORD,13.0,-12.0
2009-09-08,XE,2444,DCA,CLE,-23.0,-12.0
2009-03-31,UA,782,ABQ,IAD,-21.0,-11.0
2009-07-17,OO,4794,SBA,SLC,-10.0,-11.0
2009-08-22,OO,5927,SJC,SBA,-11.0,-11.0
2009-02-01,B6,1003,BOS,JFK,-8.0,-11.0
2009-11-04,XE,3149,PVD,EWR,-16.0,-11.0
2009-11-04,UA,705,ORD,MCI,-16.0,-11.0
2009-08-18,UA,40,LAS,DEN,-13.0,-11.0
2009-08-13,DL,1292,SLC,BOS,-13.0,-11.0
2009-07-25,XE,2165,BRO,IAH,-9.0,-11.0
2009-02-02,AA,1309,DAY,DFW,-19.0,-11.0
2009-02-01,OO,5930,SFO,PSP,-17.0,-11.0
2009-12-18,YV,7095,DRO,DEN,-24.0,-11.0
2009-04-23,YV,7305,ORF,IAD,-20.0,-11.0
2009-05-10,HA,39,PDX,OGG,24.0,-11.0
2009-05-06,US,1651,BOS,PHL,-1.0,-11.0
2009-05-04,UA,948,SAN,DEN,-22.0,-11.0
2009-05-19,OO,6390,SNA,SFO,-21.0,-11.0
2009-05-16,OO,4750,ONT,SLC,-10.0,-11.0
2009-01-08,US,5,LAS,PHX,-15.0,-11.0
2009-01-21,DL,1244,MCO,CVG,-10.0,-11.0
2009-04-05,OO,6753,CLE,DEN,-9.0,-11.0
2009-01-08,OO,6015,ORD,FAR,-14.0,-11.0
2009-06-13,AS,543,LGB,SEA,-16.0,-11.0
2009-11-14,OO,7812,RKS,GCC,-25.0,-11.0
2009-06-08,B6,1750,SJU,FLL,19.0,-11.0
2009-06-27,US,1883,BOS,CLT,-24.0,-11.0
2009-06-21,UA,866,LAX,LAS,-10.0,-11.0
2009-02-27,US,31,OGG,PHX,-38.0,-11.0
2009-09-18,B6,224,LGB,SJC,-21.0,-11.0
2009-09-29,FL,695,SRQ,ATL,-19.0,-11.0
2009-09-24,XE,2488,CLT,EWR,-17.0,-11.0
2009-09-08,EV,5427,AVL,ATL,-7.0,-11.0
2009-09-05,AA,1750,PSP,ORD,-19.0,-11.0
2009-09-14,US,1837,PHL,CLT,-30.0,-11.0
2009-11-16,YV,2633,BDL,CLT,-16.0,-11.0
2009-09-15,YV,1023,HNL,KOA,-5.0,-11.0
2009-09-12,FL,32,SJU,ATL,-24.0,-11.0
2009-09-23,MQ,4373,CMI,ORD,8.0,-11.0
2009-09-20,AS,609,LAS,SEA,-17.0,-11.0
2009-09-04,EV,5236,CHA,ATL,1.0,-11.0
2009-02-23,UA,569,TPA,ORD,-13.0,-11.0
2009-09-09,US,1416,LAX,PHL,0.0,-11.0
2009-09-28,B6,554,RSW,EWR,-24.0,-11.0
2009-03-12,NW,114,PHX,MSP,-19.0,-11.0
2009-08-28,AA,1574,STL,BOS,-9.0,-11.0
2009-11-30,AS,64,WRG,KTN,-21.0,-11.0
2009-09-04,OO,5908,BOI,DEN,-10.0,-11.0
2009-08-29,MQ,3372,BRO,DFW,-13.0,-11.0
2009-04-23,UA,454,SFO,LAS,-2.0,-10.0
2009-03-21,NW,1209,TPA,MEM,-4.0,-10.0
2009-03-16,OO,6052,LNK,ORD,-17.0,-10.0
2009-04-25,AA,1009,SDF,DFW,-26.0,-10.0
2009-03-16,OO,4596,SLC,IDA,-13.0,-10.0
2009-02-23,B6,270,BUR,LAS,-17.0,-10.0
2009-04-21,F9,277,DEN,BOI,-13.0,-10.0
2009-01-20,XE,2308,BRO,IAH,-20.0,-10.0
2009-04-22,FL,214,CAK,ATL,-20.0,-10.0
2009-04-23,OO,5896,DEN,RAP,-21.0,-10.0
2009-02-03,B6,30,JFK,ROC,3.0,-10.0
2009-01-28,AS,66,CDV,YAK,-5.0,-10.0
