FlightDate,Airline,Origin,Dest,ArrDelay,DepDelay,Cancelled,Distance

2018-01-16,CP,SEA,PSC,-1290.0,-1280.0,False,172.0

2018-01-24,AS,SNA,SEA,-48.0,-27.0,False,978.0

2018-09-11,OO,HYS,SLN,-35.0,-25.0,False,88.0

2018-11-15,YV,CRP,DFW,-23.0,-23.0,False,354.0

2018-11-12,AS,SJC,PDX,-5.0,-22.0,False,569.0

2018-09-28,YV,CRP,IAH,-34.0,-21.0,False,201.0

2018-12-16,G4,PGD,FWA,-27.0,-21.0,False,986.0

2018-12-30,DL,STT,JFK,-21.0,-20.0,False,1623.0

2018-01-20,AS,PSG,JNU,-23.0,-20.0,False,123.0

2018-01-29,AS,JNU,SIT,-26.0,-20.0,False,95.0

2018-12-15,DL,RSW,ATL,-28.0,-19.0,False,515.0

2018-08-23,OO,PUB,LBL,-23.0,-19.0,False,212.0

2018-03-14,AX,DAY,ORD,-37.0,-19.0,False,240.0

2018-03-11,HA,LAS,HNL,-9.0,-19.0,False,2762.0

2018-07-04,AS,SEA,LAX,-3.0,-18.0,False,954.0

2018-12-05,AS,FAI,ANC,-24.0,-18.0,False,261.0

2018-01-15,QX,SEA,EUG,-11.0,-18.0,False,234.0

2018-09-08,UA,DEN,OMA,-22.0,-18.0,False,472.0

2018-05-16,OO,RDD,SFO,-23.0,-18.0,False,199.0

2018-09-24,9E,VLD,ATL,-16.0,-17.0,False,208.0

2018-12-07,G4,PIE,DSM,-12.0,-17.0,False,1126.0

2018-03-25,AS,SIT,KTN,-22.0,-17.0,False,183.0

2018-01-24,UA,SNA,IAH,-28.0,-17.0,False,1346.0

2018-12-02,F9,MCO,BMI,11.0,-17.0,False,936.0

2018-09-29,DL,JFK,CHS,-7.0,-17.0,False,636.0

2018-01-11,OO,ERI,DTW,-41.0,-17.0,False,164.0

2018-01-22,B6,PIT,BOS,-28.0,-17.0,False,496.0

2018-03-03,OO,LBF,DEN,-4.0,-17.0,False,228.0

2018-06-17,G4,TYS,SFB,-27.0,-16.0,False,511.0

2018-02-09,NK,ACY,FLL,-26.0,-16.0,False,977.0

2018-07-21,OO,RDM,SFO,-29.0,-16.0,False,462.0

2018-07-14,UA,KOA,DEN,-31.0,-16.0,False,3329.0

2018-01-30,UA,SFO,EUG,-18.0,-16.0,False,451.0

2018-03-19,G4,GSO,PIE,-17.0,-16.0,False,587.0

2018-03-04,EV,ICT,IAH,-30.0,-16.0,False,542.0

2018-09-17,B6,SYR,JFK,-34.0,-16.0,False,209.0

2018-11-07,UA,MIA,EWR,-21.0,-16.0,False,1085.0

2018-08-06,G4,SRQ,CVG,-12.0,-16.0,False,812.0

